id,data,ticker,empresa,abertura,maxima,minima,fechamento,volume,variacao_percentual
1,2024-06-01,BBAS3,Banco do Brasil,78.49,79.71,77.36,77.69,49792399,-1.02
2,2022-02-01,WEGE3,WEG,150.83,153.22,148.03,148.7,35845485,-1.41
3,2022-08-18,PETR4,Petrobras,137.53,137.11,141.07,141.77,15210352,3.08
4,2023-06-23,WEGE3,WEG,152.65,151.72,150.48,152.36,45117449,-0.19
5,2025-10-25,ITUB4,Itaú,122.59,120.4,125.74,124.81,33068225,1.81
6,2023-06-17,VALE3,Vale,94.91,95.93,92.95,94.44,19882582,-0.5
7,2023-07-30,SUZB3,Suzano,83.6,83.45,82.98,79.12,43520919,-5.36
8,2024-06-06,VALE3,Vale,168.85,169.85,170.2,167.34,851493,-0.89
9,2025-06-06,RENT3,Localiza,57.37,56.77,58.81,62.29,23353266,8.58
10,2025-04-28,PETR4,Petrobras,38.77,38.41,38.0,41.27,1775735,6.45
11,2024-04-04,SUZB3,Suzano,191.12,192.47,192.17,195.29,29545199,2.18
12,2025-11-25,WEGE3,WEG,55.88,54.81,56.39,57.44,3598467,2.79
13,2022-09-13,VALE3,Vale,93.01,92.29,90.57,91.77,11122708,-1.33
14,2023-12-21,ABEV3,Ambev,166.67,166.0,167.23,164.64,2135359,-1.22
15,2025-01-01,BBAS3,Banco do Brasil,41.61,41.99,42.26,45.36,46428813,9.01
16,2023-07-24,ABEV3,Ambev,176.34,173.04,177.66,178.51,14161864,1.23
17,2023-01-04,WEGE3,WEG,56.49,55.62,55.01,57.71,1394463,2.16
18,2024-08-02,ABEV3,Ambev,152.81,151.03,149.67,151.07,37036871,-1.14
19,2025-04-15,WEGE3,WEG,169.8,167.26,172.68,172.47,250050,1.57
20,2025-12-25,BBAS3,Banco do Brasil,111.51,113.31,112.93,109.05,8988234,-2.21
21,2023-06-11,SUZB3,Suzano,154.18,154.21,152.78,155.51,35660028,0.86
22,2022-02-13,WEGE3,WEG,43.28,43.59,42.7,41.07,5932916,-5.11
23,2022-05-14,SUZB3,Suzano,145.62,145.3,146.64,144.04,34348058,-1.09
24,2024-11-10,MGLU3,Magazine Luiza,101.06,101.4,101.64,101.51,37910048,0.45
25,2025-11-04,ABEV3,Ambev,64.35,64.98,63.44,64.47,17574162,0.19
26,2025-04-12,ITUB4,Itaú,182.28,180.62,186.16,178.06,28173780,-2.32
27,2024-12-28,RENT3,Localiza,196.29,192.89,199.58,197.09,24609781,0.41
28,2025-08-13,BBDC4,Bradesco,132.72,130.6,130.81,134.3,9087977,1.19
29,2022-12-07,ITUB4,Itaú,173.85,172.39,173.97,175.31,6242573,0.84
30,2025-03-09,SUZB3,Suzano,116.84,118.07,114.17,111.96,12881553,-4.18
31,2022-02-03,BBAS3,Banco do Brasil,44.25,43.41,43.28,40.29,36365623,-8.95
32,2024-09-26,WEGE3,WEG,129.85,129.55,129.39,127.15,19517328,-2.08
33,2024-01-01,VALE3,Vale,73.3,73.12,73.91,72.85,27941448,-0.61
34,2025-04-01,SUZB3,Suzano,190.61,189.58,189.72,191.97,33044215,0.71
35,2022-04-26,ITUB4,Itaú,21.18,20.8,21.74,23.46,20158116,10.76
36,2024-01-26,BBDC4,Bradesco,115.47,115.94,116.74,115.79,6909341,0.28
37,2025-10-09,WEGE3,WEG,99.06,99.27,101.57,101.14,27796368,2.1
38,2024-02-06,WEGE3,WEG,54.38,54.38,53.02,49.8,49307632,-8.42
39,2022-12-15,BBAS3,Banco do Brasil,162.01,164.3,163.46,159.17,28681469,-1.75
40,2025-07-29,WEGE3,WEG,188.56,188.61,192.93,191.93,40237360,1.79
41,2024-12-02,ABEV3,Ambev,93.8,95.01,96.17,97.52,35790496,3.97
42,2025-04-02,BBAS3,Banco do Brasil,33.94,33.48,34.87,38.01,31939010,11.99
43,2025-05-15,VALE3,Vale,21.77,22.16,21.6,20.13,2724097,-7.53
44,2024-04-14,VALE3,Vale,150.79,148.4,152.06,151.1,44552899,0.21
45,2024-06-16,PETR4,Petrobras,69.83,68.92,68.19,67.35,33590334,-3.55
46,2022-08-23,ITUB4,Itaú,123.13,121.1,125.13,122.49,35340746,-0.52
47,2025-09-27,MGLU3,Magazine Luiza,194.95,195.47,195.63,199.75,45213047,2.46
48,2022-03-02,MGLU3,Magazine Luiza,106.71,107.64,106.31,109.2,7340504,2.33
49,2024-09-02,WEGE3,WEG,65.04,64.58,66.76,69.86,14743612,7.41
50,2025-04-08,PETR4,Petrobras,130.49,131.7,134.01,133.6,25469128,2.38
51,2023-10-27,WEGE3,WEG,15.52,15.61,15.62,11.75,6241897,-24.29
52,2024-08-26,MGLU3,Magazine Luiza,149.4,146.95,145.12,152.97,44677882,2.39
53,2025-11-03,VALE3,Vale,181.97,184.41,178.36,180.04,24252304,-1.06
54,2025-11-18,RENT3,Localiza,157.65,158.03,156.17,161.75,30328114,2.6
