id,data_lancamento,conta,tipo,valor,regiao,documento,centro_custo
1,2023-03-20,Despesas com Pessoal,Crédito,90979.23,Centro-Oeste,DOC-000001,TI
2,2022-06-11,Custo de Mercadorias,Débito,60955.99,Nordeste,DOC-000002,Marketing
3,2024-01-24,Juros Passivos,Débito,84742.62,Sudeste,DOC-000003,Financeiro
4,2022-02-01,Depreciação,Débito,7504.5,Centro-Oeste,DOC-000004,Marketing
5,2023-11-25,Juros Passivos,Crédito,1437.42,Nordeste,DOC-000005,RH
6,2025-04-27,Impostos,Crédito,21446.04,Sul,DOC-000006,Marketing
7,2023-04-22,Impostos,Débito,73437.06,Nordeste,DOC-000007,Contabilidade
8,2022-01-15,Receita de Serviços,Débito,20866.43,Centro-Oeste,DOC-000008,RH
9,2024-07-24,Despesas com Pessoal,Crédito,98033.13,Sul,DOC-000009,Vendas
10,2022-09-09,Despesas Administrativas,Débito,94143.22,Sudeste,DOC-000010,Contabilidade
11,2024-06-29,Custo de Mercadorias,Crédito,75457.32,Norte,DOC-000011,RH
12,2023-12-23,Custo de Mercadorias,Débito,74626.41,Norte,DOC-000012,TI
13,2022-09-14,Despesas Administrativas,Crédito,79749.67,Sudeste,DOC-000013,RH
14,2022-08-15,Outras Receitas,Débito,96282.01,Sudeste,DOC-000014,TI
15,2024-12-23,Receita de Vendas,Crédito,36548.21,Norte,DOC-000015,Marketing
16,2024-09-09,Custo de Mercadorias,Débito,73103.53,Sul,DOC-000016,RH
17,2022-01-21,Despesas Administrativas,Débito,17542.04,Sudeste,DOC-000017,Vendas
18,2023-06-13,Impostos,Crédito,98715.79,Centro-Oeste,DOC-000018,Marketing
19,2023-07-10,Outras Receitas,Crédito,24181.86,Sul,DOC-000019,TI
20,2024-03-30,Outras Receitas,Crédito,23712.73,Nordeste,DOC-000020,TI
21,2022-02-09,Receita de Vendas,Crédito,64964.19,Sudeste,DOC-000021,Logística
22,2024-12-13,Custo de Mercadorias,Crédito,76318.82,Nordeste,DOC-000022,TI
23,2022-10-06,Receita de Vendas,Débito,92961.36,Centro-Oeste,DOC-000023,TI
24,2025-02-01,Depreciação,Crédito,32431.67,Centro-Oeste,DOC-000024,Logística
25,2022-02-12,Receita de Serviços,Débito,43212.35,Norte,DOC-000025,Financeiro
26,2024-07-28,Despesas com Pessoal,Crédito,31906.37,Sul,DOC-000026,Logística
27,2024-09-02,Despesas com Pessoal,Débito,2022.79,Sul,DOC-000027,Financeiro
28,2024-11-30,Custo de Mercadorias,Débito,95372.97,Norte,DOC-000028,RH
29,2024-12-13,Custo de Mercadorias,Crédito,59868.1,Sudeste,DOC-000029,Contabilidade
30,2025-05-20,Marketing,Débito,47845.02,Centro-Oeste,DOC-000030,RH
31,2023-06-20,Depreciação,Crédito,73029.27,Sudeste,DOC-000031,Marketing
32,2025-04-07,Receita de Vendas,Crédito,56830.25,Sudeste,DOC-000032,Marketing
