id,data_lancamento,regiao,receita,despesa,lucro,margem_percentual,mes,ano
1,2022-05-14,Nordeste,77336.74,50766.27,26570.47,34.36,Mar,2024
2,2023-01-22,Centro-Oeste,198705.7,68674.6,130031.1,65.44,Out,2022
3,2022-12-09,Norte,128250.73,47193.87,81056.86,63.2,Fev,2024
4,2024-11-03,Nordeste,21274.69,12170.34,9104.35,42.79,Mai,2022
5,2022-06-04,Sudeste,3764.61,2985.33,779.28,20.7,Nov,2022
6,2023-03-28,Norte,50898.14,16221.47,34676.67,68.13,Ago,2023
7,2025-03-02,Sudeste,155190.93,103065.93,52125.0,33.59,Abr,2023
8,2025-08-25,Nordeste,48570.49,25044.92,23525.57,48.44,Out,2025
9,2022-07-28,Sudeste,431989.63,212657.5,219332.13,50.77,Jun,2023
10,2025-01-23,Sudeste,408789.37,352091.74,56697.63,13.87,Fev,2023
11,2022-02-17,Norte,467723.44,184815.2,282908.24,60.49,Jan,2023
12,2025-12-22,Centro-Oeste,157080.4,65721.43,91358.97,58.16,Set,2022
13,2025-08-01,Norte,266987.9,135147.86,131840.04,49.38,Mar,2023
14,2023-07-02,Norte,280757.75,244786.48,35971.27,12.81,Nov,2025
15,2025-12-11,Sul,186615.62,128212.52,58403.1,31.3,Dez,2024
16,2023-12-11,Norte,435011.08,369397.43,65613.65,15.08,Nov,2022
17,2024-06-07,Centro-Oeste,354078.86,140234.96,213843.9,60.39,Mar,2022
18,2024-12-26,Sul,318346.64,207322.32,111024.32,34.88,Mai,2022
19,2025-12-23,Centro-Oeste,194440.18,85459.78,108980.4,56.05,Mai,2025
20,2023-01-18,Sudeste,234706.69,153704.32,81002.37,34.51,Nov,2025
21,2023-02-12,Sul,306449.9,246268.7,60181.2,19.64,Nov,2023
22,2022-06-14,Centro-Oeste,3856.56,2010.12,1846.44,47.88,Dez,2025
23,2023-12-29,Nordeste,3782.21,1704.28,2077.93,54.94,Dez,2023
24,2025-06-30,Centro-Oeste,6542.94,2823.09,3719.85,56.85,Set,2022
25,2024-11-13,Nordeste,181471.66,116192.2,65279.46,35.97,Dez,2025
26,2023-03-28,Nordeste,258732.94,123061.81,135671.13,52.44,Nov,2025
27,2023-06-23,Norte,453356.97,192115.33,261241.64,57.62,Mar,2022
28,2025-01-21,Norte,114420.78,35707.03,78713.75,68.79,Nov,2022
29,2022-08-26,Centro-Oeste,111818.68,39638.08,72180.6,64.55,Jan,2025
30,2024-08-16,Sul,172823.03,152879.7,19943.33,11.54,Jul,2023
31,2023-03-17,Centro-Oeste,36855.67,20262.82,16592.85,45.02,Set,2024
32,2023-04-25,Norte,370002.57,320711.64,49290.93,13.32,Jun,2023
33,2025-07-22,Sudeste,151273.01,69049.82,82223.19,54.35,Jun,2024
34,2023-04-15,Sul,11505.8,7005.5,4500.3,39.11,Mar,2022
35,2024-07-25,Norte,462192.48,160893.85,301298.63,65.19,Out,2024
36,2022-03-01,Sudeste,342381.57,212697.15,129684.42,37.88,Abr,2023
37,2024-02-19,Nordeste,454847.12,169760.01,285087.11,62.68,Jun,2024
38,2024-06-09,Sul,147814.81,91707.64,56107.17,37.96,Jul,2023
39,2025-01-17,Sudeste,380696.04,258516.17,122179.87,32.09,Mar,2022
40,2023-02-13,Sul,105430.63,86429.87,19000.76,18.02,Abr,2023
41,2023-10-02,Sul,376296.74,221590.99,154705.75,41.11,Mai,2023
42,2025-11-23,Centro-Oeste,438437.2,168519.67,269917.53,61.56,Jan,2023
43,2023-10-25,Sul,190497.15,96336.79,94160.36,49.43,Mar,2024
44,2022-12-05,Nordeste,183986.53,157522.66,26463.87,14.38,Dez,2023
45,2024-10-29,Centro-Oeste,61222.64,37017.46,24205.18,39.54,Nov,2024
46,2023-10-30,Norte,360667.23,266122.41,94544.82,26.21,Mai,2023
47,2022-12-27,Sudeste,330038.48,202372.99,127665.49,38.68,Abr,2025
48,2025-03-30,Norte,318248.72,255220.97,63027.75,19.8,Out,2024
49,2022-07-06,Sul,328683.75,196688.24,131995.51,40.16,Nov,2022
50,2022-10-23,Centro-Oeste,361272.35,287596.64,73675.71,20.39,Jan,2025
51,2023-08-07,Sudeste,75743.76,25981.28,49762.48,65.7,Fev,2023
52,2023-01-23,Nordeste,109087.95,49785.55,59302.4,54.36,Ago,2022
53,2023-10-22,Centro-Oeste,85218.13,64813.66,20404.47,23.94,Dez,2025
54,2022-09-03,Centro-Oeste,96300.8,65312.75,30988.05,32.18,Fev,2024
55,2022-08-15,Sul,232212.39,132975.96,99236.43,42.74,Jan,2025
56,2022-10-22,Nordeste,457705.32,292351.61,165353.71,36.13,Out,2025
57,2025-07-22,Centro-Oeste,207626.38,79307.65,128318.73,61.8,Dez,2022
58,2022-01-01,Sul,319787.21,116339.09,203448.12,63.62,Mar,2025
59,2023-07-18,Centro-Oeste,139773.94,97088.91,42685.03,30.54,Jul,2024
60,2025-05-22,Nordeste,428419.95,278002.95,150417.0,35.11,Jun,2022
61,2023-04-10,Sudeste,244433.06,201023.53,43409.53,17.76,Dez,2023
62,2023-02-17,Centro-Oeste,208322.57,168347.06,39975.51,19.19,Abr,2025
63,2024-03-18,Nordeste,57009.51,20458.21,36551.3,64.11,Jan,2025
64,2025-05-29,Centro-Oeste,30962.79,25339.41,5623.38,18.16,Set,2023
65,2025-01-09,Sudeste,403075.58,183154.81,219920.77,54.56,Abr,2023
66,2024-04-06,Centro-Oeste,120623.79,39783.91,80839.88,67.02,Dez,2024
67,2024-09-04,Centro-Oeste,471332.17,281998.11,189334.06,40.17,Nov,2024
68,2024-10-01,Nordeste,301993.17,162316.98,139676.19,46.25,Jun,2023
69,2023-05-22,Centro-Oeste,50586.21,15664.67,34921.54,69.03,Jan,2023
70,2024-07-23,Centro-Oeste,455900.26,275610.91,180289.35,39.55,Jan,2023
71,2023-02-21,Centro-Oeste,382597.53,272269.78,110327.75,28.84,Out,2025
72,2025-05-12,Nordeste,140535.42,110050.07,30485.35,21.69,Jun,2023
73,2023-11-20,Sudeste,310826.38,244059.68,66766.7,21.48,Mar,2022
74,2025-12-14,Sudeste,371192.05,176180.25,195011.8,52.54,Mar,2025
75,2024-12-12,Sul,227825.65,79429.48,148396.17,65.14,Out,2023
76,2022-05-06,Norte,464970.88,344435.54,120535.34,25.92,Abr,2025
77,2024-03-04,Sudeste,33590.33,11936.36,21653.97,64.46,Abr,2023
78,2025-08-09,Sudeste,396207.39,147470.4,248736.99,62.78,Nov,2025
79,2022-05-18,Centro-Oeste,494008.44,322995.89,171012.55,34.62,Mai,2025
80,2023-07-28,Centro-Oeste,240092.67,97712.26,142380.41,59.3,Abr,2023
81,2024-03-04,Sul,487160.69,275466.34,211694.35,43.45,Ago,2022
82,2024-03-27,Nordeste,348294.48,133251.26,215043.22,61.74,Mai,2023
83,2022-04-13,Sudeste,288230.73,200351.65,87879.08,30.49,Abr,2022
84,2024-12-22,Nordeste,20268.6,11744.08,8524.52,42.06,Abr,2023
85,2025-02-11,Sul,320133.92,254275.12,65858.8,20.57,Fev,2025
86,2025-09-22,Centro-Oeste,250557.58,188636.65,61920.93,24.71,Jul,2023
87,2024-10-28,Sudeste,311434.71,107305.47,204129.24,65.54,Set,2022
88,2025-08-09,Sul,371160.0,142964.7,228195.3,61.48,Set,2025
89,2025-10-08,Norte,219454.78,109072.33,110382.45,50.3,Jan,2024
90,2025-07-29,Sul,422579.36,328779.88,93799.48,22.2,Ago,2023
91,2024-04-23,Sul,150143.36,115379.43,34763.93,23.15,Jun,2022
92,2025-06-16,Centro-Oeste,19382.27,9235.58,10146.69,52.35,Ago,2023
93,2024-03-27,Norte,293121.57,237947.94,55173.63,18.82,Jul,2025
94,2025-12-09,Sul,432330.61,365160.28,67170.33,15.54,Jan,2025
95,2025-03-12,Sudeste,287148.44,237608.92,49539.52,17.25,Set,2025
96,2024-05-24,Sudeste,116929.99,91669.93,25260.06,21.6,Ago,2025
97,2023-04-17,Centro-Oeste,116104.44,60966.3,55138.14,47.49,Mar,2025
98,2024-07-16,Centro-Oeste,120102.71,36857.43,83245.28,69.31,Jun,2022
99,2023-07-19,Norte,129159.95,89208.16,39951.79,30.93,Dez,2023
100,2024-10-22,Sul,476775.72,209238.26,267537.46,56.11,Jan,2022
101,2022-11-02,Sul,34099.62,16723.35,17376.27,50.96,Nov,2023
102,2025-08-08,Sudeste,3230.83,2879.8,351.03,10.87,Out,2022
103,2025-08-06,Sul,492663.48,290681.54,201981.94,41.0,Nov,2025
104,2024-02-05,Sudeste,62687.83,38232.91,24454.92,39.01,Dez,2022
105,2022-12-17,Sul,207689.89,94827.67,112862.22,54.34,Nov,2022
106,2022-02-23,Nordeste,66420.86,56708.62,9712.24,14.62,Mar,2023
107,2024-03-05,Sudeste,340036.12,162030.55,178005.57,52.35,Fev,2025
108,2024-01-07,Sul,163550.08,95477.95,68072.13,41.62,Jul,2025
109,2024-04-06,Centro-Oeste,205208.9,84115.49,121093.41,59.01,Ago,2022
110,2024-12-21,Nordeste,150054.76,64678.93,85375.83,56.9,Abr,2023
111,2024-12-05,Centro-Oeste,99659.96,87840.64,11819.32,11.86,Jan,2022
112,2025-05-11,Norte,94434.04,50732.83,43701.21,46.28,Ago,2025
113,2024-01-19,Sudeste,383340.92,247487.04,135853.88,35.44,Ago,2024
114,2023-10-08,Sul,84573.61,36012.39,48561.22,57.42,Set,2024
115,2025-10-25,Sudeste,475644.25,336495.68,139148.57,29.25,Jan,2024
116,2025-06-24,Nordeste,150682.86,59159.67,91523.19,60.74,Jul,2024
117,2023-11-02,Nordeste,424197.88,226115.85,198082.03,46.7,Out,2025
118,2023-05-30,Sudeste,230196.56,151111.63,79084.93,34.36,Fev,2022
119,2022-03-31,Sudeste,351127.94,191671.4,159456.54,45.41,Abr,2022
120,2022-06-12,Sudeste,363347.49,119036.75,244310.74,67.24,Out,2025
121,2025-10-01,Norte,235464.92,124763.31,110701.61,47.01,Jan,2023
122,2023-05-27,Sudeste,80916.09,25483.29,55432.8,68.51,Mai,2023
123,2023-05-24,Centro-Oeste,109371.65,43754.32,65617.33,59.99,Jun,2023
124,2022-07-27,Nordeste,71363.98,47203.92,24160.06,33.85,Mai,2024
125,2025-07-21,Norte,327656.45,177213.68,150442.77,45.91,Mar,2022
126,2025-08-17,Norte,85508.02,38880.07,46627.95,54.53,Out,2024
127,2025-03-11,Sudeste,53849.7,44717.65,9132.05,16.96,Jun,2024
128,2023-10-04,Norte,174723.67,86943.47,87780.2,50.24,Ago,2025
129,2025-02-21,Nordeste,160429.74,117091.01,43338.73,27.01,Jul,2024
130,2022-02-23,Sul,424198.62,366504.53,57694.09,13.6,Nov,2023
131,2025-06-15,Sudeste,204397.68,124016.44,80381.24,39.33,Jun,2025
132,2025-09-21,Nordeste,77151.73,67977.55,9174.18,11.89,Dez,2022
133,2022-01-21,Sudeste,144091.36,60214.39,83876.97,58.21,Fev,2024
134,2024-10-21,Centro-Oeste,118929.67,48333.42,70596.25,59.36,Set,2024
135,2025-04-08,Norte,226947.14,149746.14,77201.0,34.02,Jul,2022
136,2024-08-25,Norte,276448.57,104264.6,172183.97,62.28,Jan,2024
137,2022-07-16,Norte,152347.07,51082.6,101264.47,66.47,Abr,2025
138,2025-06-12,Norte,127698.83,79716.32,47982.51,37.57,Jul,2025
139,2022-02-22,Nordeste,257858.92,160736.57,97122.35,37.66,Out,2022
140,2024-09-18,Sul,71977.25,56238.09,15739.16,21.87,Jan,2024
141,2024-10-20,Centro-Oeste,96358.84,67717.12,28641.72,29.72,Fev,2024
142,2023-01-05,Sul,106921.42,80874.55,26046.87,24.36,Ago,2022
143,2024-08-05,Sudeste,115713.3,86364.81,29348.49,25.36,Abr,2023
144,2022-03-04,Centro-Oeste,471566.58,142377.99,329188.59,69.81,Fev,2024
145,2022-12-04,Sudeste,334181.01,263229.2,70951.81,21.23,Dez,2024
146,2022-01-17,Centro-Oeste,318199.82,118975.45,199224.37,62.61,Mar,2023
147,2022-03-10,Sul,407215.9,349823.98,57391.92,14.09,Jul,2024
148,2025-11-22,Nordeste,273650.39,110675.32,162975.07,59.56,Abr,2024
149,2025-06-14,Nordeste,281343.98,172837.35,108506.63,38.57,Mai,2023
150,2023-08-07,Sudeste,448725.06,151741.85,296983.21,66.18,Nov,2024
151,2024-09-23,Nordeste,198992.86,97289.04,101703.82,51.11,Mar,2024
152,2022-08-12,Centro-Oeste,43209.02,29245.68,13963.34,32.32,Jul,2022
153,2022-06-26,Nordeste,228741.95,94683.17,134058.78,58.61,Mai,2023
154,2024-07-27,Sul,75668.2,55810.8,19857.4,26.24,Mar,2024
155,2025-12-05,Sudeste,490622.41,385719.14,104903.27,21.38,Fev,2025
156,2025-07-27,Nordeste,137664.81,60167.05,77497.76,56.29,Dez,2022
157,2024-02-25,Sul,20505.21,10238.34,10266.87,50.07,Mai,2022
