id,data_envio,pedido,transportadora,origem,destino,peso_kg,custo_frete,dias_entrega,status
1,2022-01-04,PED-000001,FastDelivery,Centro-Oeste,Sudeste,443.32,448.42,6,Aguardando
2,2022-02-20,PED-000002,TransLog,Sudeste,Nordeste,465.75,204.47,8,Entregue
3,2024-08-17,PED-000003,RapidFrete,Norte,Norte,347.92,128.85,5,Aguardando
4,2024-03-29,PED-000004,RapidFrete,Centro-Oeste,Nordeste,310.54,79.23,12,Aguardando
5,2025-06-28,PED-000005,FastDelivery,Centro-Oeste,Sul,152.79,204.5,13,Devolvido
6,2025-08-05,PED-000006,GlobalShip,Norte,Sudeste,223.26,416.3,2,Aguardando
7,2022-08-26,PED-000007,ExpressCargo,Nordeste,Norte,27.15,435.62,8,Em Trânsito
8,2024-02-05,PED-000008,GlobalShip,Sudeste,Norte,126.87,378.26,7,Entregue
9,2022-04-27,PED-000009,FastDelivery,Sul,Nordeste,497.84,356.26,8,Entregue
10,2025-08-08,PED-000010,FastDelivery,Norte,Sudeste,221.39,35.94,12,Aguardando
11,2023-10-02,PED-000011,GlobalShip,Centro-Oeste,Sudeste,450.08,54.35,13,Entregue
12,2024-12-23,PED-000012,TransLog,Sul,Norte,276.28,24.01,7,Em Trânsito
13,2024-04-24,PED-000013,FastDelivery,Sul,Nordeste,329.18,304.81,1,Em Trânsito
14,2024-12-30,PED-000014,RapidFrete,Norte,Norte,285.26,99.77,5,Aguardando
15,2025-11-02,PED-000015,RapidFrete,Nordeste,Norte,119.2,155.51,8,Entregue
16,2022-12-27,PED-000016,ExpressCargo,Nordeste,Sul,100.36,122.56,7,Em Trânsito
17,2024-08-23,PED-000017,GlobalShip,Sul,Nordeste,203.65,231.31,13,Devolvido
18,2023-06-16,PED-000018,RapidFrete,Centro-Oeste,Sudeste,25.52,486.01,3,Entregue
19,2024-10-12,PED-000019,TransLog,Sudeste,Sudeste,137.07,476.33,8,Entregue
20,2025-06-04,PED-000020,ExpressCargo,Centro-Oeste,Centro-Oeste,101.89,156.97,3,Em Trânsito
21,2025-09-30,PED-000021,RapidFrete,Sul,Sudeste,239.52,85.99,13,Em Trânsito
22,2025-01-09,PED-000022,TransLog,Norte,Sul,37.32,467.2,3,Devolvido
23,2022-12-20,PED-000023,GlobalShip,Nordeste,Sul,413.64,65.83,6,Em Trânsito
24,2025-12-28,PED-000024,FastDelivery,Sul,Nordeste,69.17,417.37,5,Devolvido
25,2023-02-21,PED-000025,FastDelivery,Norte,Norte,241.38,120.89,13,Aguardando
26,2024-05-06,PED-000026,ExpressCargo,Sul,Centro-Oeste,372.7,66.07,7,Em Trânsito
27,2024-07-26,PED-000027,GlobalShip,Centro-Oeste,Norte,483.46,292.57,15,Entregue
28,2022-08-09,PED-000028,FastDelivery,Norte,Sul,496.93,227.07,2,Em Trânsito
29,2025-10-21,PED-000029,TransLog,Sudeste,Norte,220.55,290.48,12,Em Trânsito
30,2024-01-28,PED-000030,TransLog,Norte,Centro-Oeste,365.63,299.51,15,Entregue
31,2024-11-14,PED-000031,RapidFrete,Sudeste,Norte,425.33,429.86,6,Aguardando
32,2024-07-08,PED-000032,FastDelivery,Nordeste,Norte,283.18,135.44,2,Em Trânsito
33,2025-05-17,PED-000033,RapidFrete,Centro-Oeste,Sudeste,239.33,69.45,9,Em Trânsito
34,2023-11-17,PED-000034,TransLog,Centro-Oeste,Centro-Oeste,440.01,179.22,12,Devolvido
35,2024-09-27,PED-000035,RapidFrete,Sul,Centro-Oeste,201.04,328.58,15,Devolvido
36,2023-04-10,PED-000036,TransLog,Nordeste,Sudeste,246.83,79.36,2,Entregue
37,2024-09-22,PED-000037,FastDelivery,Centro-Oeste,Norte,420.87,381.92,9,Devolvido
38,2022-10-29,PED-000038,ExpressCargo,Sul,Norte,62.08,53.49,1,Devolvido
39,2023-09-02,PED-000039,ExpressCargo,Sudeste,Sudeste,285.31,227.37,7,Aguardando
40,2024-01-11,PED-000040,RapidFrete,Sul,Norte,376.59,61.04,10,Aguardando
41,2024-06-05,PED-000041,GlobalShip,Nordeste,Norte,341.73,32.11,2,Devolvido
42,2025-10-29,PED-000042,GlobalShip,Centro-Oeste,Norte,73.73,480.01,10,Devolvido
43,2022-07-14,PED-000043,RapidFrete,Sul,Sul,432.17,362.29,5,Devolvido
44,2023-11-16,PED-000044,ExpressCargo,Nordeste,Norte,129.92,182.35,1,Devolvido
45,2023-08-27,PED-000045,GlobalShip,Centro-Oeste,Sul,257.56,51.61,8,Em Trânsito
46,2024-06-13,PED-000046,RapidFrete,Norte,Sudeste,56.6,76.9,8,Aguardando
47,2023-05-14,PED-000047,RapidFrete,Sul,Nordeste,339.56,374.6,1,Entregue
48,2025-11-22,PED-000048,ExpressCargo,Centro-Oeste,Nordeste,374.32,218.06,5,Aguardando
49,2022-05-24,PED-000049,RapidFrete,Centro-Oeste,Centro-Oeste,422.23,110.11,12,Aguardando
50,2023-05-30,PED-000050,ExpressCargo,Sul,Sul,473.44,495.79,3,Aguardando
51,2023-12-25,PED-000051,RapidFrete,Norte,Nordeste,225.81,14.79,11,Em Trânsito
52,2023-09-15,PED-000052,ExpressCargo,Sul,Sudeste,195.72,199.75,2,Entregue
53,2024-05-15,PED-000053,ExpressCargo,Sudeste,Nordeste,0.56,483.04,1,Em Trânsito
54,2025-05-02,PED-000054,ExpressCargo,Centro-Oeste,Sul,5.67,459.01,5,Devolvido
55,2023-01-10,PED-000055,FastDelivery,Norte,Sudeste,109.31,167.41,1,Entregue
56,2022-03-18,PED-000056,ExpressCargo,Sul,Norte,367.8,233.04,15,Devolvido
57,2024-09-23,PED-000057,TransLog,Centro-Oeste,Nordeste,365.37,199.54,14,Devolvido
58,2024-02-07,PED-000058,GlobalShip,Sul,Norte,430.51,201.17,5,Entregue
59,2025-08-21,PED-000059,TransLog,Sul,Sudeste,20.68,385.7,3,Em Trânsito
60,2025-12-29,PED-000060,ExpressCargo,Centro-Oeste,Sudeste,208.84,85.9,6,Aguardando
61,2024-03-19,PED-000061,ExpressCargo,Norte,Sudeste,68.68,119.09,5,Aguardando
62,2024-04-06,PED-000062,GlobalShip,Nordeste,Sul,47.11,152.88,15,Aguardando
63,2024-01-11,PED-000063,RapidFrete,Centro-Oeste,Sudeste,170.75,325.71,11,Entregue
64,2023-04-24,PED-000064,GlobalShip,Sul,Norte,16.74,480.48,7,Em Trânsito
65,2025-01-28,PED-000065,GlobalShip,Centro-Oeste,Norte,256.33,334.54,14,Devolvido
66,2025-10-20,PED-000066,TransLog,Sudeste,Nordeste,429.84,491.55,9,Aguardando
67,2025-04-04,PED-000067,RapidFrete,Nordeste,Nordeste,326.89,479.73,12,Devolvido
68,2022-01-21,PED-000068,RapidFrete,Sul,Norte,186.59,10.68,10,Devolvido
69,2024-04-17,PED-000069,ExpressCargo,Sul,Sudeste,132.82,236.4,14,Em Trânsito
70,2025-06-27,PED-000070,GlobalShip,Sul,Nordeste,41.55,84.54,1,Em Trânsito
71,2022-06-25,PED-000071,RapidFrete,Norte,Centro-Oeste,36.93,53.53,2,Aguardando
72,2022-10-10,PED-000072,FastDelivery,Sul,Norte,248.87,29.37,12,Entregue
73,2024-04-18,PED-000073,RapidFrete,Sul,Nordeste,441.98,464.2,12,Em Trânsito
74,2022-12-16,PED-000074,GlobalShip,Sudeste,Sudeste,24.66,383.75,3,Em Trânsito
75,2023-05-18,PED-000075,TransLog,Centro-Oeste,Sudeste,131.38,176.22,10,Aguardando
76,2022-05-19,PED-000076,TransLog,Nordeste,Centro-Oeste,173.72,411.88,7,Entregue
77,2024-02-19,PED-000077,TransLog,Sudeste,Sudeste,354.61,355.25,2,Em Trânsito
78,2022-06-13,PED-000078,ExpressCargo,Nordeste,Sudeste,35.11,222.24,15,Em Trânsito
79,2024-06-01,PED-000079,RapidFrete,Nordeste,Sudeste,166.53,373.29,11,Aguardando
80,2025-06-08,PED-000080,RapidFrete,Sudeste,Sudeste,365.38,232.13,15,Entregue
81,2022-06-20,PED-000081,ExpressCargo,Norte,Norte,102.33,118.56,14,Entregue
82,2024-10-03,PED-000082,GlobalShip,Sudeste,Nordeste,480.53,33.09,1,Entregue
83,2023-02-02,PED-000083,RapidFrete,Sudeste,Nordeste,422.04,126.06,5,Em Trânsito
84,2022-02-21,PED-000084,RapidFrete,Norte,Sul,344.19,175.86,2,Em Trânsito
85,2023-06-05,PED-000085,TransLog,Nordeste,Sudeste,141.23,175.14,5,Em Trânsito
86,2025-07-06,PED-000086,ExpressCargo,Nordeste,Sudeste,199.59,298.9,14,Aguardando
87,2025-02-23,PED-000087,RapidFrete,Sudeste,Nordeste,168.91,321.69,11,Devolvido
88,2025-02-04,PED-000088,FastDelivery,Centro-Oeste,Sudeste,212.4,19.57,15,Em Trânsito
89,2023-06-25,PED-000089,TransLog,Norte,Norte,148.7,37.27,3,Em Trânsito
90,2022-09-02,PED-000090,ExpressCargo,Sul,Centro-Oeste,1.42,386.93,7,Aguardando
91,2023-06-20,PED-000091,ExpressCargo,Nordeste,Centro-Oeste,419.38,495.59,10,Em Trânsito
92,2024-02-09,PED-000092,ExpressCargo,Nordeste,Sul,435.25,224.8,7,Aguardando
93,2025-10-02,PED-000093,RapidFrete,Centro-Oeste,Norte,71.05,339.22,8,Aguardando
94,2025-03-04,PED-000094,GlobalShip,Norte,Norte,380.95,382.56,11,Entregue
95,2023-09-02,PED-000095,RapidFrete,Nordeste,Sul,52.87,129.09,2,Aguardando
96,2023-03-20,PED-000096,ExpressCargo,Nordeste,Sul,392.59,407.38,9,Em Trânsito
97,2025-01-27,PED-000097,ExpressCargo,Nordeste,Centro-Oeste,313.65,83.95,4,Entregue
98,2024-06-28,PED-000098,GlobalShip,Sul,Centro-Oeste,46.7,24.63,13,Entregue
99,2025-02-27,PED-000099,GlobalShip,Sul,Norte,162.53,118.04,11,Devolvido
100,2025-03-30,PED-000100,TransLog,Sudeste,Sudeste,33.77,256.67,9,Aguardando
101,2025-11-18,PED-000101,RapidFrete,Sudeste,Norte,49.97,330.27,2,Em Trânsito
102,2025-08-18,PED-000102,GlobalShip,Sul,Nordeste,215.07,284.88,15,Entregue
103,2022-05-31,PED-000103,FastDelivery,Norte,Norte,412.74,375.22,13,Aguardando
104,2023-11-18,PED-000104,GlobalShip,Centro-Oeste,Sul,448.79,277.23,14,Devolvido
105,2023-09-07,PED-000105,FastDelivery,Sul,Centro-Oeste,217.98,140.43,3,Entregue
106,2024-07-23,PED-000106,TransLog,Centro-Oeste,Sul,100.06,296.05,4,Devolvido
107,2023-09-11,PED-000107,ExpressCargo,Sudeste,Sudeste,216.73,198.21,3,Em Trânsito
108,2024-01-31,PED-000108,TransLog,Nordeste,Norte,441.97,172.87,2,Entregue
109,2022-03-28,PED-000109,TransLog,Norte,Nordeste,29.31,166.04,3,Aguardando
110,2023-04-27,PED-000110,FastDelivery,Sudeste,Nordeste,268.67,464.75,4,Entregue
111,2024-10-06,PED-000111,GlobalShip,Nordeste,Nordeste,235.03,54.89,11,Devolvido
112,2022-09-09,PED-000112,ExpressCargo,Sudeste,Sul,374.34,106.04,9,Entregue
113,2022-10-03,PED-000113,ExpressCargo,Centro-Oeste,Centro-Oeste,287.81,424.24,12,Em Trânsito
114,2023-01-03,PED-000114,TransLog,Sudeste,Nordeste,25.72,332.3,10,Em Trânsito
115,2023-04-25,PED-000115,TransLog,Sudeste,Centro-Oeste,344.47,42.35,14,Devolvido
116,2023-08-26,PED-000116,TransLog,Norte,Sudeste,282.2,34.53,13,Em Trânsito
117,2025-12-12,PED-000117,ExpressCargo,Sul,Sudeste,261.25,322.45,15,Entregue
118,2024-10-04,PED-000118,FastDelivery,Norte,Centro-Oeste,242.75,487.29,6,Em Trânsito
119,2022-10-02,PED-000119,TransLog,Nordeste,Norte,161.51,289.38,14,Aguardando
120,2023-05-22,PED-000120,ExpressCargo,Sul,Norte,355.89,272.01,9,Entregue
121,2022-08-28,PED-000121,GlobalShip,Sudeste,Centro-Oeste,370.67,253.98,2,Devolvido
122,2025-11-25,PED-000122,ExpressCargo,Centro-Oeste,Norte,301.08,175.88,10,Entregue
123,2025-05-09,PED-000123,FastDelivery,Sudeste,Nordeste,146.7,190.94,6,Aguardando
124,2025-10-27,PED-000124,RapidFrete,Nordeste,Sudeste,80.69,160.82,6,Em Trânsito
125,2023-08-06,PED-000125,RapidFrete,Nordeste,Nordeste,440.55,459.47,3,Entregue
126,2022-04-15,PED-000126,GlobalShip,Sul,Sudeste,204.8,405.04,1,Aguardando
127,2025-06-30,PED-000127,TransLog,Nordeste,Norte,22.47,61.72,14,Devolvido
128,2022-10-13,PED-000128,TransLog,Nordeste,Sul,460.43,154.59,9,Aguardando
129,2022-09-21,PED-000129,FastDelivery,Norte,Norte,412.0,283.59,8,Em Trânsito
130,2025-05-01,PED-000130,RapidFrete,Sudeste,Sudeste,205.04,346.24,8,Em Trânsito
131,2025-03-12,PED-000131,ExpressCargo,Norte,Sul,197.7,366.78,4,Devolvido
132,2024-02-27,PED-000132,RapidFrete,Nordeste,Sudeste,290.56,324.72,14,Aguardando
133,2022-06-23,PED-000133,FastDelivery,Sul,Centro-Oeste,150.61,217.19,10,Em Trânsito
134,2022-01-06,PED-000134,ExpressCargo,Nordeste,Nordeste,15.77,127.05,5,Aguardando
135,2025-06-30,PED-000135,GlobalShip,Nordeste,Nordeste,119.86,132.72,14,Entregue
136,2023-07-04,PED-000136,TransLog,Sudeste,Sudeste,438.51,219.91,6,Entregue
137,2024-06-18,PED-000137,FastDelivery,Sudeste,Centro-Oeste,391.1,33.49,8,Devolvido
138,2024-08-09,PED-000138,ExpressCargo,Sudeste,Norte,220.92,343.68,5,Em Trânsito
139,2025-09-21,PED-000139,RapidFrete,Centro-Oeste,Centro-Oeste,64.37,450.45,2,Entregue
140,2022-11-20,PED-000140,GlobalShip,Nordeste,Nordeste,309.44,497.09,9,Entregue
141,2023-05-23,PED-000141,GlobalShip,Centro-Oeste,Sul,432.32,156.71,13,Devolvido
142,2023-11-22,PED-000142,GlobalShip,Nordeste,Sul,345.94,477.44,6,Aguardando
143,2025-03-07,PED-000143,RapidFrete,Sudeste,Norte,479.32,387.95,6,Entregue
144,2022-07-22,PED-000144,GlobalShip,Norte,Sudeste,132.79,437.4,12,Entregue
145,2022-10-09,PED-000145,ExpressCargo,Sul,Norte,435.72,200.81,1,Devolvido
146,2025-07-13,PED-000146,TransLog,Nordeste,Centro-Oeste,417.41,339.61,11,Aguardando
147,2024-10-21,PED-000147,FastDelivery,Centro-Oeste,Sudeste,162.89,405.1,11,Aguardando
148,2024-04-03,PED-000148,RapidFrete,Norte,Centro-Oeste,11.74,280.29,14,Em Trânsito
149,2025-12-31,PED-000149,RapidFrete,Nordeste,Nordeste,263.55,115.78,2,Entregue
150,2025-12-26,PED-000150,ExpressCargo,Sudeste,Sudeste,200.26,363.73,8,Devolvido
151,2022-12-26,PED-000151,FastDelivery,Nordeste,Centro-Oeste,281.98,29.44,6,Aguardando
152,2022-11-04,PED-000152,TransLog,Nordeste,Sul,84.34,164.31,4,Em Trânsito
153,2022-02-24,PED-000153,RapidFrete,Sul,Nordeste,266.9,139.51,5,Em Trânsito
154,2025-08-08,PED-000154,GlobalShip,Sudeste,Nordeste,171.48,383.02,10,Devolvido
155,2023-03-22,PED-000155,TransLog,Sudeste,Sudeste,258.78,483.3,11,Em Trânsito
156,2023-06-14,PED-000156,ExpressCargo,Sul,Sudeste,364.39,460.22,12,Entregue
157,2024-12-10,PED-000157,ExpressCargo,Sudeste,Sudeste,135.28,271.51,5,Entregue
158,2025-07-22,PED-000158,FastDelivery,Sul,Centro-Oeste,343.84,123.53,6,Entregue
159,2022-04-01,PED-000159,FastDelivery,Sul,Nordeste,432.17,403.53,6,Aguardando
160,2024-10-09,PED-000160,FastDelivery,Nordeste,Nordeste,203.29,416.57,12,Entregue
161,2022-02-05,PED-000161,FastDelivery,Sudeste,Sudeste,292.81,12.08,1,Aguardando
162,2022-01-01,PED-000162,GlobalShip,Centro-Oeste,Sudeste,358.07,218.86,3,Devolvido
163,2024-05-06,PED-000163,TransLog,Norte,Nordeste,466.34,276.46,10,Em Trânsito
164,2022-11-20,PED-000164,TransLog,Sudeste,Centro-Oeste,70.14,81.56,3,Aguardando
165,2025-02-09,PED-000165,FastDelivery,Sul,Nordeste,242.92,375.18,14,Devolvido
166,2024-08-09,PED-000166,GlobalShip,Norte,Sudeste,208.48,482.05,5,Entregue
167,2024-12-18,PED-000167,TransLog,Sudeste,Centro-Oeste,391.04,24.36,13,Devolvido
168,2023-10-29,PED-000168,ExpressCargo,Nordeste,Centro-Oeste,113.86,163.29,3,Aguardando
169,2023-07-20,PED-000169,TransLog,Norte,Sudeste,53.61,224.71,11,Entregue
