id,data_campanha,canal,regiao,investimento,impressoes,conversoes,taxa_conversao,departamento
1,2023-05-15,TikTok,Sul,37145.82,81336,266,40.3,Vendas
2,2025-07-30,SEO,Norte,37264.33,23295,158,1.61,Marketing
3,2024-03-23,Google Ads,Nordeste,25199.65,86009,231,26.31,Marketing
4,2023-02-26,Email,Sudeste,524.59,90763,399,5.23,Logística
5,2022-05-21,Instagram,Nordeste,17464.49,56569,320,3.57,RH
6,2023-05-14,Instagram,Sudeste,4903.29,23612,38,2.98,TI
7,2022-07-25,LinkedIn,Nordeste,43580.24,37807,160,2.56,TI
8,2022-11-24,Instagram,Norte,5117.45,13915,158,4.0,RH
9,2024-01-11,LinkedIn,Nordeste,32910.94,5132,86,0.94,Logística
10,2022-06-07,YouTube,Sul,9929.64,16932,374,5.47,Vendas
11,2023-05-02,Facebook,Sudeste,20825.26,33182,4,0.06,RH
12,2024-11-11,Email,Sudeste,730.26,57152,383,4.79,Vendas
13,2023-12-26,Instagram,Norte,2404.03,34682,11,0.63,Contabilidade
14,2022-01-19,TikTok,Norte,2612.67,57846,242,5.97,Marketing
15,2022-02-26,SEO,Norte,28075.37,24632,446,12.22,Financeiro
16,2022-06-15,Facebook,Sul,420.35,99759,190,13.4,RH
17,2023-09-15,SEO,Centro-Oeste,13315.09,48627,329,4.71,RH
18,2024-03-20,SEO,Centro-Oeste,23683.29,52050,315,15.89,RH
19,2024-10-17,Facebook,Nordeste,9384.61,58565,219,2.96,Logística
20,2025-11-10,YouTube,Nordeste,34249.33,56791,59,1.46,RH
21,2022-10-03,YouTube,Sudeste,17783.33,58752,54,0.6,Vendas
22,2024-01-15,TikTok,Nordeste,47003.79,61131,190,11.1,Vendas
23,2024-12-10,TikTok,Centro-Oeste,27269.08,7099,436,15.48,Logística
24,2025-09-04,Email,Sudeste,7075.51,10023,351,6.96,Marketing
25,2024-02-20,Instagram,Sudeste,39394.2,56608,453,13.11,Logística
26,2025-10-24,Facebook,Norte,10998.78,60910,151,2.18,Contabilidade
27,2022-12-23,Facebook,Centro-Oeste,4928.44,25322,152,3.08,RH
28,2024-03-23,YouTube,Nordeste,11415.53,55481,307,6.99,Financeiro
29,2024-03-06,SEO,Sudeste,1457.94,71601,128,1.37,Financeiro
30,2024-09-16,Google Ads,Nordeste,29698.45,50467,462,5.06,RH
31,2022-01-07,Google Ads,Centro-Oeste,38992.54,71947,118,3.19,Financeiro
32,2025-08-05,LinkedIn,Sudeste,34177.28,96543,471,12.33,Logística
33,2023-12-07,Instagram,Nordeste,42162.67,93660,391,3.98,TI
34,2024-09-15,Google Ads,Sudeste,33099.9,44231,85,0.86,Vendas
35,2023-06-26,Google Ads,Sudeste,14079.96,98363,22,0.89,RH
36,2024-07-14,Instagram,Nordeste,4799.97,68313,278,10.41,Marketing
37,2023-01-30,Google Ads,Norte,24042.73,71316,265,13.44,Financeiro
38,2024-03-31,Google Ads,Sudeste,34856.51,44865,395,5.31,RH
39,2024-12-02,Email,Sul,30679.82,63529,404,8.47,RH
40,2025-05-14,Google Ads,Centro-Oeste,30753.59,22132,319,13.82,TI
41,2023-07-26,YouTube,Centro-Oeste,24567.59,55723,56,0.94,RH
42,2025-06-23,Facebook,Norte,36914.69,57710,283,20.79,Financeiro
43,2025-11-03,SEO,Sudeste,10641.84,32883,410,24.83,Financeiro
44,2022-12-11,TikTok,Centro-Oeste,10085.8,47189,48,0.64,Contabilidade
45,2024-04-28,Facebook,Sudeste,8982.62,79208,443,8.69,RH
46,2025-02-22,Facebook,Norte,20584.98,76229,249,6.99,RH
47,2025-04-23,Google Ads,Sudeste,42661.99,70520,363,12.82,Logística
48,2023-03-01,Google Ads,Sudeste,2463.32,11074,390,5.51,Financeiro
49,2025-10-31,Instagram,Norte,17468.14,51989,407,10.9,Contabilidade
50,2024-05-13,Facebook,Nordeste,49185.11,11077,99,1.27,RH
51,2023-07-03,Google Ads,Norte,43063.04,41694,168,1.69,Contabilidade
52,2025-10-09,Instagram,Sul,2908.49,47826,243,4.91,Marketing
53,2024-10-28,LinkedIn,Centro-Oeste,25842.84,92074,170,2.43,Contabilidade
54,2025-05-09,Facebook,Nordeste,43391.98,64154,348,7.46,Logística
55,2022-11-12,Instagram,Centro-Oeste,10969.58,45829,323,17.61,Financeiro
56,2025-05-14,Instagram,Centro-Oeste,40455.23,74092,35,2.93,Logística
57,2023-06-05,TikTok,Sudeste,36978.79,24527,462,25.1,Contabilidade
58,2025-12-18,LinkedIn,Sudeste,35190.43,5891,93,4.45,Logística
59,2025-03-16,Email,Centro-Oeste,27145.8,34843,119,7.0,Contabilidade
60,2025-02-10,Email,Centro-Oeste,10474.67,31638,395,24.13,Marketing
61,2022-04-18,LinkedIn,Norte,19541.63,62642,397,4.01,Financeiro
62,2023-11-23,Google Ads,Sul,26113.69,57183,377,7.38,Marketing
63,2025-01-07,TikTok,Nordeste,44108.27,83527,296,6.37,Logística
