id,nome,cargo,departamento,regiao,salario,data_admissao,status,idade
1,Funcionário 0001,Gerente,Contabilidade,Sul,8196.89,2016-08-08,Ativo,28
2,Funcionário 0002,Estagiário,Contabilidade,Sudeste,7811.65,2024-06-23,Férias,63
3,Funcionário 0003,Diretor,Marketing,Norte,11664.62,2019-03-22,Ativo,42
4,Funcionário 0004,Assistente,RH,Sudeste,5687.98,2019-07-26,Ativo,51
5,Funcionário 0005,Coordenador,Vendas,Norte,2252.02,2017-03-01,Férias,41
6,Funcionário 0006,Diretor,RH,Norte,14218.6,2020-03-03,Férias,42
7,Funcionário 0007,Estagiário,Marketing,Sul,12224.99,2017-09-13,Ativo,31
8,Funcionário 0008,Estagiário,TI,Nordeste,17487.66,2021-08-06,Férias,50
9,Funcionário 0009,Gerente,Vendas,Sul,10317.02,2019-10-18,Ativo,51
10,Funcionário 0010,Estagiário,Vendas,Sul,17344.26,2021-02-28,Desligado,62
11,Funcionário 0011,Diretor,TI,Norte,18034.44,2017-04-18,Desligado,40
12,Funcionário 0012,Coordenador,Marketing,Norte,9421.02,2018-08-23,Ativo,60
13,Funcionário 0013,Diretor,Contabilidade,Nordeste,17481.62,2018-08-21,Ativo,63
14,Funcionário 0014,Assistente,Contabilidade,Norte,14725.6,2023-07-01,Férias,62
15,Funcionário 0015,Assistente,Financeiro,Sudeste,13615.45,2022-07-30,Ativo,53
16,Funcionário 0016,Diretor,Contabilidade,Nordeste,14269.32,2019-11-05,Ativo,41
17,Funcionário 0017,Analista,TI,Nordeste,4423.9,2018-12-19,Ativo,40
18,Funcionário 0018,Coordenador,RH,Sul,14930.12,2018-09-03,Ativo,38
19,Funcionário 0019,Analista,TI,Sul,13539.14,2019-11-09,Ativo,23
20,Funcionário 0020,Analista,RH,Sul,14103.44,2023-02-11,Férias,33
21,Funcionário 0021,Analista,Financeiro,Sudeste,6542.55,2023-12-12,Ativo,57
22,Funcionário 0022,Diretor,Vendas,Centro-Oeste,7174.61,2015-07-26,Ativo,20
23,Funcionário 0023,Assistente,TI,Norte,22666.04,2019-06-24,Ativo,62
24,Funcionário 0024,Assistente,Contabilidade,Sudeste,15735.29,2017-03-27,Ativo,25
25,Funcionário 0025,Gerente,Logística,Centro-Oeste,15855.55,2024-10-10,Ativo,53
26,Funcionário 0026,Coordenador,Marketing,Sul,16207.93,2016-12-05,Ativo,29
27,Funcionário 0027,Diretor,TI,Centro-Oeste,24986.45,2022-05-04,Ativo,62
28,Funcionário 0028,Analista,Marketing,Nordeste,4748.04,2020-10-02,Ativo,36
29,Funcionário 0029,Assistente,Marketing,Sul,14839.64,2020-11-10,Férias,64
30,Funcionário 0030,Assistente,Financeiro,Sul,4148.91,2024-01-28,Ativo,26
31,Funcionário 0031,Coordenador,RH,Sudeste,4696.62,2021-01-31,Férias,22
32,Funcionário 0032,Estagiário,TI,Sul,16587.8,2017-08-17,Desligado,37
33,Funcionário 0033,Diretor,Contabilidade,Centro-Oeste,18621.8,2016-08-18,Férias,61
34,Funcionário 0034,Assistente,Logística,Norte,4301.64,2018-02-23,Ativo,36
35,Funcionário 0035,Coordenador,Financeiro,Centro-Oeste,2387.85,2019-04-15,Ativo,57
