id,data_venda,produto,regiao,quantidade,preco_unitario,valor_total,canal,codigo_pedido
1,2023-07-18,Mouse Wireless,Nordeste,4,173.8,695.2,Loja Física,VND-00001
2,2025-01-21,"Monitor 27""",Sul,4,3399.66,13598.64,Televendas,VND-00002
3,2023-03-24,Mouse Wireless,Sul,2,197.5,395.0,Online,VND-00003
4,2025-08-23,Roteador WiFi 6,Sul,18,1034.25,18616.5,Televendas,VND-00004
5,2023-07-24,Cadeira Ergonômica,Norte,8,2273.58,18188.64,Loja Física,VND-00005
6,2022-11-15,Mouse Wireless,Centro-Oeste,14,1734.24,24279.36,Online,VND-00006
7,2024-01-06,Mesa Digitalizadora,Centro-Oeste,3,1930.64,5791.92,Marketplace,VND-00007
8,2025-01-03,"Monitor 27""",Sudeste,2,3662.17,7324.34,Online,VND-00008
9,2025-07-11,"Tablet 10""",Centro-Oeste,18,1501.23,27022.14,Loja Física,VND-00009
10,2023-04-12,Cadeira Ergonômica,Centro-Oeste,3,276.83,830.49,Online,VND-00010
11,2024-02-18,Headset Gamer,Sudeste,8,4339.09,34712.72,Marketplace,VND-00011
12,2023-03-06,Smartphone,Centro-Oeste,6,1882.4,11294.4,Online,VND-00012
13,2024-12-29,Roteador WiFi 6,Nordeste,20,3193.14,63862.8,Loja Física,VND-00013
14,2025-08-03,Roteador WiFi 6,Sul,15,1928.3,28924.5,Loja Física,VND-00014
15,2022-04-25,Mouse Wireless,Norte,11,4222.12,46443.32,Marketplace,VND-00015
16,2023-03-09,Hub USB-C,Sul,13,1375.32,17879.16,Marketplace,VND-00016
17,2024-03-21,Hub USB-C,Sudeste,7,3294.42,23060.94,Loja Física,VND-00017
18,2025-02-23,Impressora Laser,Centro-Oeste,9,741.17,6670.53,Televendas,VND-00018
19,2023-03-26,Teclado Mecânico,Sul,19,2027.03,38513.57,Televendas,VND-00019
20,2022-08-13,Teclado Mecânico,Nordeste,3,3791.12,11373.36,Televendas,VND-00020
21,2024-02-21,"Tablet 10""",Sudeste,20,364.46,7289.2,Marketplace,VND-00021
22,2022-01-24,Smartphone,Norte,18,4310.86,77595.48,Marketplace,VND-00022
23,2024-06-09,Teclado Mecânico,Sudeste,11,602.18,6623.98,Online,VND-00023
24,2023-01-01,Impressora Laser,Norte,9,4860.85,43747.65,Marketplace,VND-00024
25,2022-11-10,Webcam HD,Nordeste,17,3064.4,52094.8,Online,VND-00025
26,2022-02-09,"Monitor 27""",Centro-Oeste,20,1654.57,33091.4,Marketplace,VND-00026
27,2025-03-07,"Monitor 27""",Norte,8,336.73,2693.84,Televendas,VND-00027
28,2024-12-26,Cadeira Ergonômica,Nordeste,3,4891.02,14673.06,Loja Física,VND-00028
29,2022-12-05,Headset Gamer,Sul,16,4736.9,75790.4,Televendas,VND-00029
30,2025-11-13,Mouse Wireless,Centro-Oeste,7,4648.12,32536.84,Televendas,VND-00030
31,2024-11-25,Memória RAM 16GB,Norte,12,2218.6,26623.2,Loja Física,VND-00031
32,2022-02-13,"Tablet 10""",Sul,8,366.93,2935.44,Loja Física,VND-00032
33,2022-05-26,Roteador WiFi 6,Norte,19,1140.08,21661.52,Loja Física,VND-00033
34,2023-11-08,"Monitor 27""",Sul,3,4531.83,13595.49,Loja Física,VND-00034
35,2023-03-15,Impressora Laser,Nordeste,9,3361.44,30252.96,Televendas,VND-00035
36,2024-04-13,Mouse Wireless,Norte,8,3933.87,31470.96,Online,VND-00036
37,2024-04-21,Memória RAM 16GB,Norte,14,1803.77,25252.78,Online,VND-00037
38,2023-11-26,Cadeira Ergonômica,Norte,2,2042.98,4085.96,Loja Física,VND-00038
39,2024-07-07,Teclado Mecânico,Sudeste,7,991.53,6940.71,Loja Física,VND-00039
40,2022-06-04,Memória RAM 16GB,Sul,9,2340.01,21060.09,Online,VND-00040
41,2025-01-12,Mesa Digitalizadora,Norte,2,3278.12,6556.24,Online,VND-00041
42,2024-09-21,Memória RAM 16GB,Nordeste,8,873.24,6985.92,Televendas,VND-00042
43,2022-01-05,SSD 1TB,Centro-Oeste,2,864.95,1729.9,Televendas,VND-00043
44,2025-02-12,Smartphone,Sudeste,10,2143.89,21438.9,Loja Física,VND-00044
45,2022-04-30,"Tablet 10""",Sul,7,1518.7,10630.9,Online,VND-00045
46,2025-04-11,Memória RAM 16GB,Sul,11,332.97,3662.67,Loja Física,VND-00046
47,2022-06-14,Mesa Digitalizadora,Nordeste,2,4805.86,9611.72,Online,VND-00047
48,2023-04-27,SSD 1TB,Norte,20,386.41,7728.2,Loja Física,VND-00048
49,2025-06-22,"Monitor 27""",Sudeste,19,2992.87,56864.53,Marketplace,VND-00049
50,2023-10-06,Mouse Wireless,Centro-Oeste,9,1061.08,9549.72,Televendas,VND-00050
51,2023-09-07,Memória RAM 16GB,Centro-Oeste,5,3374.87,16874.35,Online,VND-00051
52,2025-02-27,"Monitor 27""",Norte,1,2318.51,2318.51,Loja Física,VND-00052
53,2023-12-16,Hub USB-C,Norte,17,1362.74,23166.58,Loja Física,VND-00053
54,2024-06-16,Mesa Digitalizadora,Sul,12,1460.69,17528.28,Marketplace,VND-00054
55,2025-09-01,Impressora Laser,Norte,20,4920.07,98401.4,Marketplace,VND-00055
56,2022-10-03,Headset Gamer,Norte,4,4697.7,18790.8,Online,VND-00056
57,2023-08-01,"Tablet 10""",Nordeste,18,819.47,14750.46,Marketplace,VND-00057
58,2023-06-25,Impressora Laser,Sudeste,7,3453.11,24171.77,Marketplace,VND-00058
59,2024-05-17,Mesa Digitalizadora,Centro-Oeste,2,506.88,1013.76,Online,VND-00059
60,2022-09-25,Smartphone,Centro-Oeste,1,1701.1,1701.1,Loja Física,VND-00060
61,2024-05-25,Impressora Laser,Norte,15,2780.82,41712.3,Online,VND-00061
62,2025-11-16,Hub USB-C,Nordeste,3,4728.0,14184.0,Online,VND-00062
63,2022-10-31,SSD 1TB,Nordeste,12,2933.42,35201.04,Online,VND-00063
64,2022-03-23,Hub USB-C,Centro-Oeste,10,1855.03,18550.3,Loja Física,VND-00064
65,2023-12-26,Cadeira Ergonômica,Sul,8,3351.32,26810.56,Televendas,VND-00065
66,2023-04-30,Mesa Digitalizadora,Nordeste,20,3759.91,75198.2,Loja Física,VND-00066
67,2023-11-12,Cadeira Ergonômica,Sudeste,14,172.69,2417.66,Loja Física,VND-00067
68,2025-12-07,"Monitor 27""",Sudeste,9,838.03,7542.27,Online,VND-00068
69,2024-07-31,Webcam HD,Centro-Oeste,16,1151.05,18416.8,Loja Física,VND-00069
70,2023-01-31,SSD 1TB,Centro-Oeste,8,167.14,1337.12,Marketplace,VND-00070
71,2023-07-26,Webcam HD,Sul,3,4836.1,14508.3,Televendas,VND-00071
72,2022-02-26,"Monitor 27""",Centro-Oeste,18,1689.19,30405.42,Loja Física,VND-00072
73,2023-06-28,Notebook Pro,Norte,19,4814.54,91476.26,Televendas,VND-00073
74,2023-10-05,SSD 1TB,Sul,12,3656.3,43875.6,Online,VND-00074
75,2023-01-25,Headset Gamer,Norte,13,4502.55,58533.15,Televendas,VND-00075
76,2025-01-07,Smartphone,Nordeste,1,2623.61,2623.61,Marketplace,VND-00076
77,2025-09-22,Hub USB-C,Centro-Oeste,14,396.37,5549.18,Marketplace,VND-00077
78,2023-09-08,Impressora Laser,Centro-Oeste,4,3612.78,14451.12,Televendas,VND-00078
79,2023-08-29,Impressora Laser,Nordeste,11,2041.88,22460.68,Loja Física,VND-00079
80,2024-02-16,Smartphone,Nordeste,14,3341.4,46779.6,Marketplace,VND-00080
81,2022-01-01,Headset Gamer,Centro-Oeste,13,2762.29,35909.77,Loja Física,VND-00081
82,2025-05-27,Smartphone,Centro-Oeste,14,3939.51,55153.14,Televendas,VND-00082
83,2023-03-14,Impressora Laser,Sudeste,15,2238.69,33580.35,Loja Física,VND-00083
84,2025-09-21,Smartphone,Sul,3,1454.74,4364.22,Marketplace,VND-00084
85,2023-04-27,Smartphone,Centro-Oeste,3,4101.2,12303.6,Loja Física,VND-00085
86,2022-04-05,Mouse Wireless,Sudeste,7,779.4,5455.8,Online,VND-00086
87,2025-07-13,"Tablet 10""",Nordeste,15,2101.48,31522.2,Televendas,VND-00087
88,2022-10-30,Smartphone,Norte,16,2028.28,32452.48,Online,VND-00088
89,2025-11-26,Impressora Laser,Sudeste,14,1133.26,15865.64,Online,VND-00089
90,2022-09-06,Memória RAM 16GB,Nordeste,18,1283.53,23103.54,Televendas,VND-00090
91,2025-05-04,Webcam HD,Sudeste,17,4940.07,83981.19,Televendas,VND-00091
92,2022-11-22,Roteador WiFi 6,Sudeste,18,2257.27,40630.86,Televendas,VND-00092
93,2025-07-29,Headset Gamer,Sul,9,3771.3,33941.7,Televendas,VND-00093
94,2022-06-08,Roteador WiFi 6,Centro-Oeste,8,1409.26,11274.08,Loja Física,VND-00094
95,2025-01-11,"Monitor 27""",Nordeste,9,1712.45,15412.05,Loja Física,VND-00095
96,2022-11-09,Roteador WiFi 6,Nordeste,8,1946.02,15568.16,Online,VND-00096
97,2025-01-16,Memória RAM 16GB,Sudeste,14,2067.62,28946.68,Online,VND-00097
98,2024-03-08,Hub USB-C,Sul,7,4172.81,29209.67,Online,VND-00098
99,2022-01-13,Webcam HD,Centro-Oeste,19,1932.89,36724.91,Televendas,VND-00099
100,2025-01-23,Cadeira Ergonômica,Sul,14,2714.19,37998.66,Loja Física,VND-00100
101,2024-06-11,Memória RAM 16GB,Norte,16,1136.14,18178.24,Televendas,VND-00101
